item,units,servings,price,calories,fat,sugar,calcium,fiber,protein
Ramen,1,48.0,6.88,9120.0,336.0,0.0,0.0,0.0,240.0
Potatoes,1,1.0,0.48,290.0,0.4,3.2,53.8,6.9,7.9
Milk,1,16.0,1.79,2080.0,80.0,192.0,4000.0,0.0,128.0
Eggs,1,12.0,1.32,840.0,60.0,0.0,336.0,0.0,72.0
Pasta,1,8.0,3.88,1600.0,8.0,16.0,0.0,16.0,56.0
Frozen Pizza,1,5.0,2.78,1750.0,55.0,25.0,750.0,10.0,70.0
Potato Chips,1,14.0,2.12,2240.0,154.0,14.0,0.0,14.0,14.0
Frozen Broccoli,1,4.0,0.98,100.0,0.0,4.0,100.0,8.0,4.0
Carrots,1,2.0,0.98,105.0,0.6,12.2,84.4,7.2,2.4
Bananas,1,1.0,0.24,105.0,0.4,14.4,5.9,3.1,1.3
Tortillas,1,18.0,3.48,2520.0,72.0,0.0,0.0,0.0,54.0
Cheese,1,8.0,1.88,880.0,64.0,0.0,1528.0,0.0,48.0
Yogurt,1,5.0,3.47,450.0,0.0,35.0,950.0,0.0,85.0
Bread,1,6.0,1.28,720.0,12.0,12.0,360.0,0.06,24.0
Chicken,1,20.0,9.76,2200.0,60.0,0.0,0.0,0.0,400.0
Rice,1,40.0,8.43,8200.0,16.0,4.0,632.0,24.0,168.0
Pasta Sauce,1,15.0,3.57,900.0,22.5,105.0,300.0,30.0,30.0
Lettuce,1,6.0,1.78,48.0,0.6000000000000001,3.5999999999999996,93.0,6.0,3.5999999999999996
